Title of Product,Link of Product,Item No of Ebay,Description,Condition,Price,Dict Data Multifield,image,Shipping Charge,Courier,Return Policy
Gucci Mens Bifold Wallet Brown Signature Micro Guccissima Card Holder Snap New,https://www.ebay.com/itm/Gucci-Mens-Bifold-Wallet-Brown-Signature-Micro-Guccissima-Card-Holder-Snap-New/193227342025?hash=item2cfd3f40c9:g:6DEAAOSwnY1d3B2U,193227342025,"
Gucci Men's Bifold Wallet Brown Signature Micro Guccissima Card Holder Snap New 

Brand New, the money is not included. It’s used to show the size of the wallet.

Brand: Gucci
Style: Bifold
Color: Brown
Features: Credit Card
Department: Men
Type: Bifold Wallet
Pattern: Signature

Sold as pictured. Thanks for looking!",New without tags,US $300.00,"{' Condition': 'New without tags', ' Brand': 'Gucci', ' Department': 'Men', ' Type': 'Bifold Wallet', ' Features': 'Credit Card', ' Style': 'Bifold', ' Color': 'Brown', ' Pattern': 'Signature', ' UPC': 'Does Not Apply'}",",https://i.ebayimg.com/images/g/6DEAAOSwnY1d3B2U/s-l300.jpg,https://i.ebayimg.com/images/g/pYkAAOSwTvNd3B2V/s-l300.jpg,https://i.ebayimg.com/images/g/YD8AAOSwdIZd3B2W/s-l300.jpg,https://i.ebayimg.com/images/g/vxIAAOSwrL9d3B2W/s-l300.jpg,https://i.ebayimg.com/images/g/jcAAAOSwwlJd3B2X/s-l300.jpg,https://i.ebayimg.com/images/g/A9QAAOSwrrld3B2Y/s-l300.jpg,https://i.ebayimg.com/images/g/6DEAAOSwnY1d3B2U/s-l300.jpg,https://i.ebayimg.com/images/g/pYkAAOSwTvNd3B2V/s-l300.jpg,https://i.ebayimg.com/images/g/YD8AAOSwdIZd3B2W/s-l300.jpg,https://i.ebayimg.com/images/g/vxIAAOSwrL9d3B2W/s-l300.jpg,https://i.ebayimg.com/images/g/jcAAAOSwwlJd3B2X/s-l300.jpg,https://i.ebayimg.com/images/g/A9QAAOSwrrld3B2Y/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
Nike Mens Dunk High Stussy World Tour London Shoes Brown Sneakers 315593-221 9,https://www.ebay.com/itm/Nike-Mens-Dunk-High-Stussy-World-Tour-London-Shoes-Brown-Sneakers-315593-221-9/193297643384?hash=item2d016ff778:g:zLkAAOSwChteG9Ye,193297643384,"

Nike Mens Dunk High Stussy World Tour London Shoes Brown Sneakers 315593-221 9

Brand: Nike
Style: Sneakers 
Size: 9
Color: Brown
Style Number: 315593-221
Secondary Color: Green
Euro Size: 42.5
Pattern: Solid 
Fastening: Lace Up
Features: Round Toe
Country/Region Of Manufacture: Vietnam

Sold as pictured. Thanks for looking!

-30 day returns on unused/unworn items
-100% authenticity guaranteed
-Items ship next business day
-We will pay return shipping if you contact us firstThis listing was easily created using the SellHound Posting App!",Pre-owned,US $120.00,"{' Condition': 'Pre-owned', ' Color': 'Brown', ' Euro Size': '42.5', ' Brand': 'Nike', ' Pattern': 'Solid', ' Style': 'Sneakers', ' Fastening': 'Lace Up', ' Size': '9', ' Features': 'Round Toe', ' Style Number (Mpn)': '315593-221', ' Country/Region of Manufacture': 'Vietnam', ' Secondary Color': 'Green', ' UPC': 'Does Not Apply'}",",https://i.ebayimg.com/images/g/zLkAAOSwChteG9Ye/s-l300.jpg,https://i.ebayimg.com/images/g/jaIAAOSw2kleG9Yf/s-l300.jpg,https://i.ebayimg.com/images/g/lc0AAOSwA75eG9Yg/s-l300.jpg,https://i.ebayimg.com/images/g/44UAAOSwl2BeG9Yg/s-l300.jpg,https://i.ebayimg.com/images/g/J8sAAOSwWy5eG9Yh/s-l300.jpg,https://i.ebayimg.com/images/g/YEoAAOSwJ4peG9Yi/s-l300.jpg,https://i.ebayimg.com/images/g/IBIAAOSwlHJeG9Yj/s-l300.jpg,https://i.ebayimg.com/images/g/zLkAAOSwChteG9Ye/s-l300.jpg,https://i.ebayimg.com/images/g/jaIAAOSw2kleG9Yf/s-l300.jpg,https://i.ebayimg.com/images/g/lc0AAOSwA75eG9Yg/s-l300.jpg,https://i.ebayimg.com/images/g/44UAAOSwl2BeG9Yg/s-l300.jpg,https://i.ebayimg.com/images/g/J8sAAOSwWy5eG9Yh/s-l300.jpg,https://i.ebayimg.com/images/g/YEoAAOSwJ4peG9Yi/s-l300.jpg,https://i.ebayimg.com/images/g/IBIAAOSwlHJeG9Yj/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
Gucci Micro Guccissima Mens Bifold Wallet BMJ1N Brown Leather (2 in 1),https://www.ebay.com/itm/Gucci-Micro-Guccissima-Mens-Bifold-Wallet-BMJ1N-Brown-Leather-2-in-1/193227343033?hash=item2cfd3f44b9:g:qioAAOSwCXVd3B3o,193227343033,"
Gucci Micro Guccissima Mens Bifold Wallet BMJ1N Brown Leather Lot Of 2 New

Money used as a prop reference to size and not included. 
2 Separate Wallets (1 Inside the Other)

Brand: Gucci
Mpn: 333042 BMJ1N
Style: Bifold
Color: Brown
Features: Removable ID Holder
Material: Leather
Country/Region Of Manufacture: Italy
Department: Men
Model: MicroGuccissima Bi-Fold
Type: Bifold Wallet
Accents: Logo
Number Of Pieces: 2 Piece

Sold as pictured. Thanks for looking!",New without tags,US $269.00,"{' Condition': 'New without tags', ' Personalized': 'No', ' Vintage': 'No', ' Brand': 'Gucci', ' Color': 'Brown', ' Accents': 'Logo', ' Features': 'Removable ID Holder', ' Model': 'MicroGuccissima Bi-Fold', ' Country/Region Of Manufacture': 'Italy', ' Modified Item': 'No', ' Number Of Pieces': '2 Piece', ' Type': 'Bifold Wallet', ' Department': 'Men', ' Style': 'Bifold', ' MPN': '333042 BMJ1N', ' Material': 'Leather', ' UPC': 'Does Not Apply'}",",https://i.ebayimg.com/images/g/qioAAOSwCXVd3B3o/s-l300.jpg,https://i.ebayimg.com/images/g/VlkAAOSwy21d3B3p/s-l300.jpg,https://i.ebayimg.com/images/g/vxoAAOSwaNhd3B3q/s-l300.jpg,https://i.ebayimg.com/images/g/qSUAAOSw1Bxd3B3r/s-l300.jpg,https://i.ebayimg.com/images/g/JkgAAOSwmjZd3B3s/s-l300.jpg,https://i.ebayimg.com/images/g/JbkAAOSwgFpd3B3s/s-l300.jpg,https://i.ebayimg.com/images/g/Zw8AAOSwN4Fd3B3t/s-l300.jpg,https://i.ebayimg.com/images/g/OEwAAOSwe0xd3B3u/s-l300.jpg,https://i.ebayimg.com/images/g/HpcAAOSwwRld3B3v/s-l300.jpg,https://i.ebayimg.com/images/g/qioAAOSwCXVd3B3o/s-l300.jpg,https://i.ebayimg.com/images/g/VlkAAOSwy21d3B3p/s-l300.jpg,https://i.ebayimg.com/images/g/vxoAAOSwaNhd3B3q/s-l300.jpg,https://i.ebayimg.com/images/g/qSUAAOSw1Bxd3B3r/s-l300.jpg,https://i.ebayimg.com/images/g/JkgAAOSwmjZd3B3s/s-l300.jpg,https://i.ebayimg.com/images/g/JbkAAOSwgFpd3B3s/s-l300.jpg,https://i.ebayimg.com/images/g/Zw8AAOSwN4Fd3B3t/s-l300.jpg,https://i.ebayimg.com/images/g/OEwAAOSwe0xd3B3u/s-l300.jpg,https://i.ebayimg.com/images/g/HpcAAOSwwRld3B3v/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
Nike Air Tech Challenge II QS SZ 10 Blue Grey Obsidian Andre Agassi 667444-404,https://www.ebay.com/itm/Nike-Air-Tech-Challenge-II-QS-SZ-10-Blue-Grey-Obsidian-Andre-Agassi-667444-404/193189361881?hash=item2cfafbb8d9:g:nUcAAOSwCEFdvcQP,193189361881,"
Nike Air Tech Challenge II QS SZ 10 Blue Grey Obsidian Andre Agassi 667444-404Ships w/ Original Box",Pre-owned,US $99.00,"{' Condition': 'Pre-owned', ' Size': '10', ' Product Line': 'Nike Air', ' Model': 'Nike Air Tech Challenge II', "" US Shoe Size (Men's)"": '10', ' Character': 'Blue', ' Type': 'Athletic', ' Department': 'Men', ' Color': 'Blue', ' Style': 'Tennis Shoes', ' Brand': 'Nike'}",",https://i.ebayimg.com/images/g/nUcAAOSwCEFdvcQP/s-l300.jpg,https://i.ebayimg.com/images/g/3lkAAOSwe-tdvcQU/s-l300.jpg,https://i.ebayimg.com/images/g/Z0AAAOSwgm5dvcQX/s-l300.jpg,https://i.ebayimg.com/images/g/OkYAAOSwNw1dvcQc/s-l300.jpg,https://i.ebayimg.com/images/g/rJ0AAOSwyMVdvcQg/s-l300.jpg,https://i.ebayimg.com/images/g/kpoAAOSw46BdvcQk/s-l300.jpg,https://i.ebayimg.com/images/g/RjAAAOSwTYZdvcQo/s-l300.jpg,https://i.ebayimg.com/images/g/RVAAAOSwUqJdvcQs/s-l300.jpg,https://i.ebayimg.com/images/g/nUcAAOSwCEFdvcQP/s-l300.jpg,https://i.ebayimg.com/images/g/3lkAAOSwe-tdvcQU/s-l300.jpg,https://i.ebayimg.com/images/g/Z0AAAOSwgm5dvcQX/s-l300.jpg,https://i.ebayimg.com/images/g/OkYAAOSwNw1dvcQc/s-l300.jpg,https://i.ebayimg.com/images/g/rJ0AAOSwyMVdvcQg/s-l300.jpg,https://i.ebayimg.com/images/g/kpoAAOSw46BdvcQk/s-l300.jpg,https://i.ebayimg.com/images/g/RjAAAOSwTYZdvcQo/s-l300.jpg,https://i.ebayimg.com/images/g/RVAAAOSwUqJdvcQs/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
New Balance x Undefeated Mens Sneakers Blue Yellow Lace Up Low Top Undftd Shoe 9,https://www.ebay.com/itm/New-Balance-x-Undefeated-Mens-Sneakers-Blue-Yellow-Lace-Up-Low-Top-Undftd-Shoe-9/193299213202?hash=item2d0187eb92:g:oAQAAOSwDYZeHVhS,193299213202,"

New Balance x Undefeated Mens Sneakers Blue Yellow Lace Up Low Top Undftd Shoe 9

Brand: New Balance
Style: Sneakers 
Size: 9
Color: Blue
Secondary Color: Yellow
Model: New Balance X Undefeated
Euro Size: 42.5
Pattern: Color Block 
Fastening: Lace Up
Shoe Height: Low Top

Sold as pictured. Thanks for looking!

-30 day returns on unused/unworn items
-100% authenticity guaranteed
-Items ship next business day
-We will pay return shipping if you contact us firstThis listing was easily created using the SellHound Posting App!",Pre-owned,US $150.00,"{' Condition': 'Pre-owned', ' Color': 'Blue', ' Euro Size': '42.5', ' Brand': 'New Balance', ' Pattern': 'Color Block', ' Style': 'Sneakers', ' Fastening': 'Lace Up', ' Size': '9', ' Shoe Height': 'Low Top', ' Secondary Color': 'Yellow', ' Model': 'New Balance X Undefeated', ' UPC': 'Does Not Apply'}",",https://i.ebayimg.com/images/g/oAQAAOSwDYZeHVhS/s-l300.jpg,https://i.ebayimg.com/images/g/wl8AAOSw6sZeHVhS/s-l300.jpg,https://i.ebayimg.com/images/g/W1EAAOSwru1eHVhT/s-l300.jpg,https://i.ebayimg.com/images/g/pugAAOSwhe9eHVhU/s-l300.jpg,https://i.ebayimg.com/images/g/OKQAAOSwpJReHVhV/s-l300.jpg,https://i.ebayimg.com/images/g/G9AAAOSwZ3teHVhV/s-l300.jpg,https://i.ebayimg.com/images/g/6swAAOSwa5ReHVhW/s-l300.jpg,https://i.ebayimg.com/images/g/eIgAAOSwMN5eHVhX/s-l300.jpg,https://i.ebayimg.com/images/g/oAQAAOSwDYZeHVhS/s-l300.jpg,https://i.ebayimg.com/images/g/wl8AAOSw6sZeHVhS/s-l300.jpg,https://i.ebayimg.com/images/g/W1EAAOSwru1eHVhT/s-l300.jpg,https://i.ebayimg.com/images/g/pugAAOSwhe9eHVhU/s-l300.jpg,https://i.ebayimg.com/images/g/OKQAAOSwpJReHVhV/s-l300.jpg,https://i.ebayimg.com/images/g/G9AAAOSwZ3teHVhV/s-l300.jpg,https://i.ebayimg.com/images/g/6swAAOSwa5ReHVhW/s-l300.jpg,https://i.ebayimg.com/images/g/eIgAAOSwMN5eHVhX/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
Dr. Martens Air Wair Womens Combat Boots Red Made in England Oxblood 10,https://www.ebay.com/itm/Dr-Martens-Air-Wair-Womens-Combat-Boots-Red-Made-in-England-Oxblood-10/193306133681?hash=item2d01f184b1:g:6eYAAOSwGC9d5bSV,193306133681,"
Dr. Martens Air Wair Womens Combat Boots Red Lace Up Round Toe Oil Resist Sole 9US Size 9.Brand: Dr. MartensSize: 9Style: Combat Boots Color: RedHeel Height: Flat Heel (0 To 1/2 In.)Pattern: Solid Features: Cushioned SolesFastening: Lace-UpSold as pictured. Thanks for looking!30 day returns on unused/unworn items. 100% authenticity guaranteed.",Pre-owned,US $99.99,"{' Condition': 'Pre-owned', ' Brand': 'Dr. Martens', ' Style': 'Combat Boots', ' Fastening': 'Lace Up', ' Pattern': 'Solid', ' Upper Material': 'Unknown', ' Department': 'Women', "" US Shoe Size (Women's)"": 'US 10', ' Character': 'Boots', ' Type': 'Boot', ' Color': 'Red', ' Heel Height': 'Flat Heel (0 to 1/2 in.)', ' Features': 'Cushioned Soles', ' UPC': 'Does Not Apply'}",",https://i.ebayimg.com/images/g/6eYAAOSwGC9d5bSV/s-l300.jpg,https://i.ebayimg.com/images/g/9akAAOSwGshd5bSW/s-l300.jpg,https://i.ebayimg.com/images/g/jfwAAOSwuMNd5bSX/s-l300.jpg,https://i.ebayimg.com/images/g/gU0AAOSwTh1d5bSX/s-l300.jpg,https://i.ebayimg.com/images/g/K~0AAOSwvd9d5bSY/s-l300.jpg,https://i.ebayimg.com/images/g/RSwAAOSwIZJd5bSZ/s-l300.jpg,https://i.ebayimg.com/images/g/j88AAOSwuJFd5bSa/s-l300.jpg,https://i.ebayimg.com/images/g/6eYAAOSwGC9d5bSV/s-l300.jpg,https://i.ebayimg.com/images/g/9akAAOSwGshd5bSW/s-l300.jpg,https://i.ebayimg.com/images/g/jfwAAOSwuMNd5bSX/s-l300.jpg,https://i.ebayimg.com/images/g/gU0AAOSwTh1d5bSX/s-l300.jpg,https://i.ebayimg.com/images/g/K~0AAOSwvd9d5bSY/s-l300.jpg,https://i.ebayimg.com/images/g/RSwAAOSwIZJd5bSZ/s-l300.jpg,https://i.ebayimg.com/images/g/j88AAOSwuJFd5bSa/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
Nike Air Jordan 6 Retro Mens Shoes Travis Scott Cactus Jack CN1084-200 11.5 New,https://www.ebay.com/itm/Nike-Air-Jordan-6-Retro-Mens-Shoes-Travis-Scott-Cactus-Jack-CN1084-200-11-5-New/193268888455?hash=item2cffb93387:g:tmQAAOSwH3NeAD8C,193268888455,"

Air Jordan 6 Retro SP Mens Shoes Green Basketball Cactus Jack Cargo 11.5 New

Brand New, with original receipt. 100% Authentic. Super Rare.

Brand: Air Jordans
Style: Baseball Shoes 
Size: 11.5
Color: Green
Style Number: Cactus Jack 6  Retro
Activity: Basketball
Pattern: Cargo
Fastening: Lace Up
Year: 2019
Shoe Height: High Top

Sold as pictured. Thanks for looking!

-30 day returns on unused/unworn items
-100% authenticity guaranteed
-Items ship next business day
-We will pay return shipping if you contact us firstThis listing was easily created using the SellHound Posting App!",New with box,US $750.00,"{' Condition': 'New with box', ' Brand': 'Nike', ' Fastening': 'Lace Up', ' Model': 'Cactus Jack', ' Activity': 'Basketball', ' Type': 'Athletic', ' Shoe Height': 'High Top', "" US Shoe Size (Men's)"": '11.5', ' Pattern': 'Cargo', ' Style': 'Baseball Shoes', ' Style Number (Mpn)': 'CN1084-200', ' Color': 'Green', ' Department': 'Men', ' Year': '2019', ' Size': '11.5', ' Product Line': 'Nike Air', ' UPC': 'Does Not Apply'}",",https://i.ebayimg.com/images/g/tmQAAOSwH3NeAD8C/s-l300.jpg,https://i.ebayimg.com/images/g/mUwAAOSwrhFeAD8D/s-l300.jpg,https://i.ebayimg.com/images/g/mp0AAOSwnw5eAD8E/s-l300.jpg,https://i.ebayimg.com/images/g/-coAAOSw6sZeAD8F/s-l300.jpg,https://i.ebayimg.com/images/g/4jsAAOSw7oleAD8F/s-l300.jpg,https://i.ebayimg.com/images/g/ElQAAOSw29ZeAD8G/s-l300.jpg,https://i.ebayimg.com/images/g/bHYAAOSwePReAD8H/s-l300.jpg,https://i.ebayimg.com/images/g/dYkAAOSwA-VeAD8I/s-l300.jpg,https://i.ebayimg.com/images/g/0d8AAOSw4qZeAD8J/s-l300.jpg,https://i.ebayimg.com/images/g/ZyYAAOSwLmheAD8J/s-l300.jpg,https://i.ebayimg.com/images/g/tmQAAOSwH3NeAD8C/s-l300.jpg,https://i.ebayimg.com/images/g/mUwAAOSwrhFeAD8D/s-l300.jpg,https://i.ebayimg.com/images/g/mp0AAOSwnw5eAD8E/s-l300.jpg,https://i.ebayimg.com/images/g/-coAAOSw6sZeAD8F/s-l300.jpg,https://i.ebayimg.com/images/g/4jsAAOSw7oleAD8F/s-l300.jpg,https://i.ebayimg.com/images/g/ElQAAOSw29ZeAD8G/s-l300.jpg,https://i.ebayimg.com/images/g/bHYAAOSwePReAD8H/s-l300.jpg,https://i.ebayimg.com/images/g/dYkAAOSwA-VeAD8I/s-l300.jpg,https://i.ebayimg.com/images/g/0d8AAOSw4qZeAD8J/s-l300.jpg,https://i.ebayimg.com/images/g/ZyYAAOSwLmheAD8J/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
Adidas NMD R1 Tech Earth Mens Sneakers Brown Lace Up Round Toe S81881 19 New,https://www.ebay.com/itm/Adidas-NMD-R1-Tech-Earth-Mens-Sneakers-Brown-Lace-Up-Round-Toe-S81881-19-New/193235444617?hash=item2cfdbae389:g:mKIAAOSwTbFd4r2O,193235444617,"
Adidas NMD R1 Tech Earth Men's Sneakers Brown Lace Up Round Toe S81881 19 New

SKU: D16.

Brand: Adidas
Style: Sneakers 
Size: 19
Color: Brown
Style Number: S81881
Activity: Athleisure
Model: Adidas Tech Earth
Pattern: Solid 
Fastening: Lace-Up
Country/Region Of Manufacture: Vietnam

Sold as pictured. Thanks for looking!

We accept unused/unworn returns for any reason within 30 days, just message us with any questions if you’re not 100% satisfied and we will respond within 24 hours.",New without box,US $159.99,"{' Condition': 'New without box', ' Size': '19', ' Activity': 'Athleisure', ' Model': 'Adidas Tech Earth', ' Fastening': 'Lace Up', ' Country/Region of Manufacture': 'Vietnam', ' Secondary Color': 'White', ' Style': 'Sneakers', ' Color': 'Brown', ' Pattern': 'Solid', ' Brand': 'adidas', ' Style Number (Mpn)': 'S81881', ' UPC': 'Does Not Apply'}",",https://i.ebayimg.com/images/g/mKIAAOSwTbFd4r2O/s-l300.jpg,https://i.ebayimg.com/images/g/VgwAAOSwUYRd4r2Q/s-l300.jpg,https://i.ebayimg.com/images/g/EZMAAOSwOzld4r2Q/s-l300.jpg,https://i.ebayimg.com/images/g/8Z8AAOSwMN5d4r2R/s-l300.jpg,https://i.ebayimg.com/images/g/EzsAAOSwHf5d4r2S/s-l300.jpg,https://i.ebayimg.com/images/g/AVoAAOSwm2pd4r2T/s-l300.jpg,https://i.ebayimg.com/images/g/mKIAAOSwTbFd4r2O/s-l300.jpg,https://i.ebayimg.com/images/g/VgwAAOSwUYRd4r2Q/s-l300.jpg,https://i.ebayimg.com/images/g/EZMAAOSwOzld4r2Q/s-l300.jpg,https://i.ebayimg.com/images/g/8Z8AAOSwMN5d4r2R/s-l300.jpg,https://i.ebayimg.com/images/g/EzsAAOSwHf5d4r2S/s-l300.jpg,https://i.ebayimg.com/images/g/AVoAAOSwm2pd4r2T/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
Adidas Ultraboost Laceless Mens Running Shoes Navy Blue Low Top CM8269 18 D New,https://www.ebay.com/itm/Adidas-Ultraboost-Laceless-Mens-Running-Shoes-Navy-Blue-Low-Top-CM8269-18-D-New/193240337598?hash=item2cfe058cbe:g:UzYAAOSw4qNd5wUc,193240337598,"
Adidas Ultraboost Laceless Mens Running Shoes Navy Blue Low Top CM8269 18 D New

Adidas Ultra boost.

Brand: Adidas
Style: Running Shoes 
Size: 18
Color: Blue
Style Number: CM8269
Secondary Color: Multicolor
Shoe Width: D
Activity: Running
Model: Adidas Ultraboost Laceless
Upper Material: Mesh
Pattern: Solid 
Fastening: Slip On
Year: 2017
Features: Lightweight
Shoe Height: Low Top
Country/Region Of Manufacture: China

Sold as pictured. Thanks for looking!

30 day returns on unused/unworn items. 100% authenticity guaranteed.",New without box,US $159.00,"{' Condition': 'New without box', ' Color': 'Blue', ' Pattern': 'Solid', ' Brand': 'adidas', ' Fastening': 'Slip On', ' Style': 'Running Shoes', ' Year': '2017', ' Size': '18', ' Shoe Height': 'Low Top', ' Style Number (Mpn)': 'CM8269', ' Country/Region of Manufacture': 'China', ' Shoe Width': 'D', ' Secondary Color': 'Multicolor', ' Activity': 'Running', ' Upper Material': 'Mesh', ' Model': 'Adidas Ultraboost Laceless', ' Features': 'Lightweight', ' UPC': '191039218518'}",",https://i.ebayimg.com/images/g/UzYAAOSw4qNd5wUc/s-l300.jpg,https://i.ebayimg.com/images/g/8AMAAOSwMi5d5wUd/s-l300.jpg,https://i.ebayimg.com/images/g/1QQAAOSwIdxd5wUe/s-l300.jpg,https://i.ebayimg.com/images/g/G9EAAOSwoydd5wUe/s-l300.jpg,https://i.ebayimg.com/images/g/nmIAAOSw-LJd5wUf/s-l300.jpg,https://i.ebayimg.com/images/g/7YIAAOSwqgFd5wUi/s-l300.jpg,https://i.ebayimg.com/images/g/fEIAAOSwIxFd5wUj/s-l300.jpg,https://i.ebayimg.com/images/g/UzYAAOSw4qNd5wUc/s-l300.jpg,https://i.ebayimg.com/images/g/8AMAAOSwMi5d5wUd/s-l300.jpg,https://i.ebayimg.com/images/g/1QQAAOSwIdxd5wUe/s-l300.jpg,https://i.ebayimg.com/images/g/G9EAAOSwoydd5wUe/s-l300.jpg,https://i.ebayimg.com/images/g/nmIAAOSw-LJd5wUf/s-l300.jpg,https://i.ebayimg.com/images/g/7YIAAOSwqgFd5wUi/s-l300.jpg,https://i.ebayimg.com/images/g/fEIAAOSwIxFd5wUj/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
Adidas Mens Lacombe Spezial Sneakers White Tennis Lace Up Low Top DA8786 9 New,https://www.ebay.com/itm/Adidas-Mens-Lacombe-Spezial-Sneakers-White-Tennis-Lace-Up-Low-Top-DA8786-9-New/193305230363?hash=item2d01e3bc1b:g:RwoAAOSwrWBeIpRu,193305230363,"

Adidas Mens Lacombe Spezial Sneakers White Tennis Lace Up Low Top DA8786 9 New

Brand: Adidas
Style: Sneakers 
Size: 9
Color: White
Style Number: DA8786
Secondary Color: Gold
Activity: Tennis
Model: Adidas Spezial Lacombe
Upper Material: Leather
Euro Size: 42 2/3
Pattern: Solid 
Fastening: Lace Up
Product Line: Adidas Lacombe
Shoe Height: Low Top
Country/Region Of Manufacture: China

Sold as pictured. Thanks for looking!

-30 day returns on unused/unworn items
-Measurements are approximate, please measure and check your favorite items at home to estimate fit
-100% authenticity guaranteed
-Items ship next business day
-We will pay return shipping if you contact us firstThis listing was easily created using the SellHound Posting App!",New without box,US $125.00,"{' Condition': 'New without box', ' Color': 'White', ' Euro Size': '42 2/3', ' Brand': 'adidas', ' Pattern': 'Solid', ' Style': 'Sneakers', ' Fastening': 'Lace Up', ' Size': '9', ' Product Line': 'Adidas Lacombe', ' Style Number (Mpn)': 'DA8786', ' Shoe Height': 'Low Top', ' Activity': 'Tennis', ' Country/Region of Manufacture': 'China', ' Model': 'Adidas Spezial Lacombe', ' Secondary Color': 'Gold', ' Upper Material': 'Leather', ' UPC': 'Does Not Apply'}",",https://i.ebayimg.com/images/g/RwoAAOSwrWBeIpRu/s-l300.jpg,https://i.ebayimg.com/images/g/JkoAAOSwxkpeIpRv/s-l300.jpg,https://i.ebayimg.com/images/g/17AAAOSwyhVeIpRv/s-l300.jpg,https://i.ebayimg.com/images/g/WrsAAOSw9SdeIpRw/s-l300.jpg,https://i.ebayimg.com/images/g/klIAAOSwWSVeIpRx/s-l300.jpg,https://i.ebayimg.com/images/g/axcAAOSwWk1eIpRy/s-l300.jpg,https://i.ebayimg.com/images/g/0Q8AAOSw~8leIpRz/s-l300.jpg,https://i.ebayimg.com/images/g/2uMAAOSwFR5eIpRz/s-l300.jpg,https://i.ebayimg.com/images/g/RwoAAOSwrWBeIpRu/s-l300.jpg,https://i.ebayimg.com/images/g/JkoAAOSwxkpeIpRv/s-l300.jpg,https://i.ebayimg.com/images/g/17AAAOSwyhVeIpRv/s-l300.jpg,https://i.ebayimg.com/images/g/WrsAAOSw9SdeIpRw/s-l300.jpg,https://i.ebayimg.com/images/g/klIAAOSwWSVeIpRx/s-l300.jpg,https://i.ebayimg.com/images/g/axcAAOSwWk1eIpRy/s-l300.jpg,https://i.ebayimg.com/images/g/0Q8AAOSw~8leIpRz/s-l300.jpg,https://i.ebayimg.com/images/g/2uMAAOSwFR5eIpRz/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
