category,Title,Price,Url,id,subtitle,Galleryurl,Payment Method,Postal Code,Location,country,shippingservicecost,shippingtype,expeditedshipping,conditiondisplayname,sellingstate,returnsaccepted,ismultivariationlisting,originalretailprice
athletic shoes,adidas originals continental 80 shoes men's,31,https://www.ebay.com/itm/adidas-originals-continental-80-shoes-mens-/153705002470?var=453719718611,153705002470,free shipping and free 30 day returns on all orders,https://thumbs3.ebaystatic.com/pict/153705002470404000000002_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,80
athletic shoes,adidas advantage shoes men's,35,https://www.ebay.com/itm/adidas-advantage-shoes-mens-/153705002410?var=453719717405,153705002410,free shipping and free 30 day returns on all orders,https://thumbs3.ebaystatic.com/pict/153705002410404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,65
athletic shoes,adidas solarboost shoes men's,50,https://www.ebay.com/itm/adidas-solarboost-shoes-mens-/153733052289?var=453750639074,153733052289,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153733052289404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,160
athletic shoes,adidas originals 3mc vulc shoes men's,25,https://www.ebay.com/itm/adidas-originals-3mc-vulc-shoes-mens-/153784847901?var=453813233936,153784847901,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153784847901404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,65
athletic shoes,adidas advantage shoes men's,35,https://www.ebay.com/itm/adidas-advantage-shoes-mens-/153705002410?var=453719717439,153705002410,free shipping and free 30 day returns on all orders,https://thumbs3.ebaystatic.com/pict/153705002410404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,65
athletic shoes,adidas solarboost shoes men's,50,https://www.ebay.com/itm/adidas-solarboost-shoes-mens-/153733052289?var=453750639071,153733052289,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153733052289404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,160
athletic shoes,adidas pureboost ltd shoes men's,65,https://www.ebay.com/itm/adidas-pureboost-ltd-shoes-mens-/153772787065?var=453796850706,153772787065,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153772787065404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,140
athletic shoes,adidas originals daily 2.0 shoes men's,30,https://www.ebay.com/itm/adidas-originals-daily-2-0-shoes-mens-/153705002449?var=453719718104,153705002449,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153705002449404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,60
athletic shoes,adidas originals streetball shoes men's,55,https://www.ebay.com/itm/adidas-originals-streetball-shoes-mens-/153797919963?var=453830351262,153797919963,free shipping and free 30 day returns on all orders,https://thumbs4.ebaystatic.com/pict/153797919963404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,110
athletic shoes,adidas pureboost ltd shoes men's,65,https://www.ebay.com/itm/adidas-pureboost-ltd-shoes-mens-/153772787065?var=453796850704,153772787065,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153772787065404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,140
athletic shoes,adidas pureboost ltd shoes men's,65,https://www.ebay.com/itm/adidas-pureboost-ltd-shoes-mens-/153772787065?var=453796850710,153772787065,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153772787065404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,140
athletic shoes,adidas solarboost shoes men's,50,https://www.ebay.com/itm/adidas-solarboost-shoes-mens-/153733052289?var=453750639068,153733052289,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153733052289404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,160
athletic shoes,adidas solarboost shoes men's,50,https://www.ebay.com/itm/adidas-solarboost-shoes-mens-/153733052289?var=453750639073,153733052289,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153733052289404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,160
athletic shoes,adidas ownthegame shoes men's,33,https://www.ebay.com/itm/adidas-ownthegame-shoes-mens-/153705002451?var=453719718290,153705002451,free shipping and free 30 day returns on all orders,https://thumbs4.ebaystatic.com/pict/153705002451404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,65
